Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,134,9,Some Random Commen with Id 0
1,0,4,193,1,Some Random Commen with Id 1
2,0,4,138,7,Some Random Commen with Id 2
3,0,4,88,1,Some Random Commen with Id 3
4,0,4,195,5,Some Random Commen with Id 4
5,0,4,159,3,Some Random Commen with Id 5
6,1,7,198,9,Some Random Commen with Id 6
7,1,7,198,8,Some Random Commen with Id 7
8,1,7,48,3,Some Random Commen with Id 8
9,1,7,16,3,Some Random Commen with Id 9
10,1,7,112,6,Some Random Commen with Id 10
11,1,7,154,2,Some Random Commen with Id 11
12,2,8,138,8,Some Random Commen with Id 12
13,2,8,14,8,Some Random Commen with Id 13
14,2,8,13,0,Some Random Commen with Id 14
15,2,8,114,2,Some Random Commen with Id 15
16,3,2,97,2,Some Random Commen with Id 16
17,5,7,182,5,Some Random Commen with Id 17
18,5,7,20,7,Some Random Commen with Id 18
19,5,7,16,5,Some Random Commen with Id 19
20,5,7,181,8,Some Random Commen with Id 20
21,6,1,123,2,Some Random Commen with Id 21
22,6,1,172,9,Some Random Commen with Id 22
23,6,1,149,7,Some Random Commen with Id 23
24,7,8,46,3,Some Random Commen with Id 24
25,7,8,50,0,Some Random Commen with Id 25
26,8,9,161,9,Some Random Commen with Id 26
27,8,9,191,4,Some Random Commen with Id 27
28,8,9,128,0,Some Random Commen with Id 28
29,8,9,9,1,Some Random Commen with Id 29
30,8,9,185,3,Some Random Commen with Id 30
31,8,9,71,9,Some Random Commen with Id 31
32,8,9,128,9,Some Random Commen with Id 32
33,9,2,77,7,Some Random Commen with Id 33
34,9,2,4,2,Some Random Commen with Id 34
35,9,2,126,9,Some Random Commen with Id 35
36,9,2,25,3,Some Random Commen with Id 36
37,9,2,74,2,Some Random Commen with Id 37
38,9,2,46,3,Some Random Commen with Id 38
39,10,2,104,7,Some Random Commen with Id 39
40,10,2,165,7,Some Random Commen with Id 40
41,10,2,61,4,Some Random Commen with Id 41
42,10,2,164,5,Some Random Commen with Id 42
43,11,4,95,2,Some Random Commen with Id 43
44,11,4,140,9,Some Random Commen with Id 44
45,12,4,57,9,Some Random Commen with Id 45
46,12,4,100,4,Some Random Commen with Id 46
47,12,4,89,3,Some Random Commen with Id 47
48,13,7,12,9,Some Random Commen with Id 48
49,14,4,34,0,Some Random Commen with Id 49
50,14,4,114,9,Some Random Commen with Id 50
51,15,0,38,2,Some Random Commen with Id 51
52,15,0,112,6,Some Random Commen with Id 52
53,15,0,141,4,Some Random Commen with Id 53
54,15,0,177,8,Some Random Commen with Id 54
55,15,0,156,8,Some Random Commen with Id 55
56,15,0,199,4,Some Random Commen with Id 56
57,15,0,31,3,Some Random Commen with Id 57
58,16,2,81,7,Some Random Commen with Id 58
59,16,2,84,3,Some Random Commen with Id 59
